           T(s)              1              2              3              4              5              6              7
      52200.000  0.1047205E+00  0.3753870E-01  0.1448123E+01  0.6073289E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      52500.000  0.1044482E+00  0.3753870E-01  0.1442526E+01  0.6044753E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      52800.000  0.1041848E+00  0.3753870E-01  0.1437110E+01  0.6017145E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      53100.000  0.1039301E+00  0.3753870E-01  0.1431869E+01  0.5990430E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      53400.000  0.1036838E+00  0.3753870E-01  0.1426797E+01  0.5964576E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      53700.000  0.1034455E+00  0.3753870E-01  0.1421888E+01  0.5939552E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      54000.000  0.1032151E+00  0.3753870E-01  0.1417136E+01  0.5915327E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      54300.000  0.1029922E+00  0.3753870E-01  0.1412536E+01  0.5891871E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      54600.000  0.1027767E+00  0.3753870E-01  0.1408082E+01  0.5869158E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      54900.000  0.1025681E+00  0.3753870E-01  0.1403770E+01  0.5847160E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      55200.000  0.1023663E+00  0.3753870E-01  0.1399594E+01  0.5825850E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      55500.000  0.1021711E+00  0.3753870E-01  0.1395550E+01  0.5805205E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      55800.000  0.1019822E+00  0.3753870E-01  0.1391633E+01  0.5785200E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      56100.000  0.1017993E+00  0.3753870E-01  0.1387838E+01  0.5765811E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      56400.000  0.1016224E+00  0.3753870E-01  0.1384161E+01  0.5747017E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      56700.000  0.1014511E+00  0.3753870E-01  0.1380598E+01  0.5728797E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      57000.000  0.1012852E+00  0.3753870E-01  0.1377144E+01  0.5711129E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      57300.000  0.1011246E+00  0.3753870E-01  0.1373797E+01  0.5693995E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      57600.000  0.1009691E+00  0.3753870E-01  0.1370552E+01  0.5677375E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      57900.000  0.1008184E+00  0.3753870E-01  0.1367405E+01  0.5661251E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      58200.000  0.1006725E+00  0.3753870E-01  0.1364353E+01  0.5645606E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      58500.000  0.1005311E+00  0.3753870E-01  0.1361393E+01  0.5630422E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      58800.000  0.1003941E+00  0.3753870E-01  0.1358522E+01  0.5615684E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      59100.000  0.1002613E+00  0.3753870E-01  0.1355735E+01  0.5601376E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      59400.000  0.1001326E+00  0.3753870E-01  0.1353031E+01  0.5587483E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
      59700.000  0.1000078E+00  0.3753870E-01  0.1350407E+01  0.5573990E-01  0.3125234E-01  0.2794472E-01  0.4028129E-01
